"filename", "language", "XML", "JSON", "C#", "comment", "blank", "total"
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Repositories\Implementations\UserRepository.cs", "C#", 0, 0, 160, 37, 22, 219
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Repositories\Interfaces\IBackpackRepository.cs", "C#", 0, 0, 21, 52, 18, 91
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Repositories\Interfaces\IChildRepository.cs", "C#", 0, 0, 12, 22, 9, 43
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Repositories\Interfaces\IDiabetesSettingsRepository.cs", "C#", 0, 0, 17, 40, 14, 71
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Repositories\Interfaces\IMeasurementRepository.cs", "C#", 0, 0, 35, 87, 28, 150
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Repositories\Interfaces\IRepository.cs", "C#", 0, 0, 13, 40, 11, 64
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Repositories\Interfaces\IUserRepository.cs", "C#", 0, 0, 14, 31, 10, 55
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Resources\AppIcon\appicon.svg", "XML", 4, 0, 0, 0, 0, 4
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Resources\AppIcon\appiconfg.svg", "XML", 8, 0, 0, 0, 0, 8
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Resources\Splash\splash.svg", "XML", 8, 0, 0, 0, 0, 8
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Resources\Styles\Buttons.xaml", "XML", 284, 0, 0, 19, 33, 336
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Resources\Styles\Cards.xaml", "XML", 145, 0, 0, 33, 31, 209
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Resources\Styles\Chips.xaml", "XML", 215, 0, 0, 14, 29, 258
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Resources\Styles\Colors.xaml", "XML", 102, 0, 0, 45, 32, 179
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Resources\Styles\Radii.xaml", "XML", 26, 0, 0, 9, 9, 44
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Resources\Styles\Shadows.xaml", "XML", 98, 0, 0, 11, 21, 130
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Resources\Styles\Spacing.xaml", "XML", 130, 0, 0, 19, 26, 175
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Resources\Styles\States.xaml", "XML", 579, 0, 0, 44, 70, 693
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Resources\Styles\Styles.xaml", "XML", 168, 0, 0, 6, 29, 203
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Resources\Styles\Theme.Dark.xaml", "XML", 101, 0, 0, 111, 42, 254
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Resources\Styles\Theme.Light.xaml", "XML", 101, 0, 0, 112, 44, 257
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Resources\Styles\Typography.xaml", "XML", 276, 0, 0, 72, 62, 410
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Security\CryptoService.cs", "C#", 0, 0, 173, 102, 42, 317
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Security\MauiEncryptionService.cs", "C#", 0, 0, 105, 35, 22, 162
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Security\MauiReEncryptJob.cs", "C#", 0, 0, 142, 29, 18, 189
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Security\MauiSecureStorageKeyProvider.cs", "C#", 0, 0, 52, 23, 13, 88
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Security\PasswordHashingService.cs", "C#", 0, 0, 87, 67, 20, 174
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Security\SecureStorageService.cs", "C#", 0, 0, 188, 48, 18, 254
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\AIRecommendationService.cs", "C#", 0, 0, 276, 47, 36, 359
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\AccessManagementPageFactory.cs", "C#", 0, 0, 16, 0, 5, 21
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\AddSnackDialogFactory.cs", "C#", 0, 0, 19, 4, 5, 28
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\AuthenticationService.cs", "C#", 0, 0, 387, 78, 77, 542
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\BackpackService.cs", "C#", 0, 0, 272, 24, 38, 334
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\ConnectionCodeService.cs", "C#", 0, 0, 86, 23, 14, 123
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\CurrentUserService.cs", "C#", 0, 0, 14, 0, 5, 19
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\DiabetesSettingsPageFactory.cs", "C#", 0, 0, 18, 0, 5, 23
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\EditProfilePageFactory.cs", "C#", 0, 0, 28, 0, 6, 34
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\EncryptionService.cs", "C#", 0, 0, 171, 33, 25, 229
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\FallbackRecommendationService.cs", "C#", 0, 0, 96, 29, 18, 143
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\GigaChatService.cs", "C#", 0, 0, 239, 39, 47, 325
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\LinkService.cs", "C#", 0, 0, 316, 4, 45, 365
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\LocationService.cs", "C#", 0, 0, 157, 23, 25, 205
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\MeasurementService.cs", "C#", 0, 0, 504, 98, 69, 671
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\MockApiClient.cs", "C#", 0, 0, 471, 111, 92, 674
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\NotificationService.cs", "C#", 0, 0, 372, 66, 61, 499
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\RealApiClient.cs", "C#", 0, 0, 568, 55, 104, 727
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\RecommendationCacheAdapter.cs", "C#", 0, 0, 30, 11, 7, 48
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\RecommendationCacheService.cs", "C#", 0, 0, 181, 49, 42, 272
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\RecommendationModalFactory.cs", "C#", 0, 0, 12, 3, 3, 18
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\RecommendationModalViewModelFactory.cs", "C#", 0, 0, 16, 4, 5, 25
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\RecommendationOrchestrator.cs", "C#", 0, 0, 128, 7, 19, 154
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\ScheduleService.cs", "C#", 0, 0, 206, 34, 40, 280
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\StatisticsService.cs", "C#", 0, 0, 145, 37, 30, 212
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\StorageService.cs", "C#", 0, 0, 86, 28, 9, 123
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\SyncConflictResolver.cs", "C#", 0, 0, 112, 22, 19, 153
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\SyncService.cs", "C#", 0, 0, 592, 90, 96, 778
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Implementations\ThemeService.cs", "C#", 0, 0, 100, 28, 21, 149
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Interfaces\IAIRecommendationService.cs", "C#", 0, 0, 40, 65, 20, 125
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Interfaces\IAccessManagementPageFactory.cs", "C#", 0, 0, 6, 3, 3, 12
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Interfaces\IAddSnackDialogFactory.cs", "C#", 0, 0, 7, 6, 3, 16
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Interfaces\IApiClient.cs", "C#", 0, 0, 40, 114, 31, 185
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Interfaces\IAuthenticationService.cs", "C#", 0, 0, 15, 28, 11, 54
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Interfaces\IBackpackService.cs", "C#", 0, 0, 24, 40, 13, 77
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Interfaces\IConnectionCodeService.cs", "C#", 0, 0, 7, 28, 3, 38
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Interfaces\ICurrentUserService.cs", "C#", 0, 0, 5, 3, 2, 10
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Interfaces\IDiabetesSettingsPageFactory.cs", "C#", 0, 0, 6, 3, 3, 12
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Interfaces\IEditProfilePageFactory.cs", "C#", 0, 0, 7, 3, 3, 13
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Interfaces\IEncryptionService.cs", "C#", 0, 0, 13, 28, 9, 50
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Interfaces\IFallbackRecommendationService.cs", "C#", 0, 0, 7, 12, 3, 22
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Interfaces\IGigaChatService.cs", "C#", 0, 0, 32, 77, 22, 131
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Interfaces\ILinkService.cs", "C#", 0, 0, 16, 14, 13, 43
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Interfaces\ILocationService.cs", "C#", 0, 0, 16, 42, 9, 67
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Interfaces\IMeasurementService.cs", "C#", 0, 0, 17, 30, 9, 56
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Interfaces\INotificationService.cs", "C#", 0, 0, 12, 28, 9, 49
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Interfaces\IRecommendationCache.cs", "C#", 0, 0, 6, 18, 3, 27
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Interfaces\IRecommendationCacheService.cs", "C#", 0, 0, 26, 68, 17, 111
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Interfaces\IRecommendationModalFactory.cs", "C#", 0, 0, 7, 6, 3, 16
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Interfaces\IRecommendationModalViewModelFactory.cs", "C#", 0, 0, 6, 6, 3, 15
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Interfaces\IRecommendationOrchestrator.cs", "C#", 0, 0, 29, 59, 15, 103
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Interfaces\IScheduleService.cs", "C#", 0, 0, 11, 39, 7, 57
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Interfaces\IStatisticsService.cs", "C#", 0, 0, 16, 45, 8, 69
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Interfaces\IStorageService.cs", "C#", 0, 0, 9, 18, 6, 33
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Interfaces\ISyncConflictResolver.cs", "C#", 0, 0, 16, 19, 5, 40
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Interfaces\ISyncService.cs", "C#", 0, 0, 47, 66, 20, 133
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Services\Interfaces\IThemeService.cs", "C#", 0, 0, 8, 12, 5, 25
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\SugarGuard.Junior.csproj", "XML", 84, 0, 0, 17, 21, 122
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Utilities\CipherFormat.cs", "C#", 0, 0, 22, 29, 7, 58
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Utilities\Constants.cs", "C#", 0, 0, 24, 78, 23, 125
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Utilities\DoubleParser.cs", "C#", 0, 0, 33, 20, 9, 62
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Utilities\GlucoseClassifier.cs", "C#", 0, 0, 14, 0, 3, 17
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Utilities\ProfileValidator.cs", "C#", 0, 0, 145, 52, 30, 227
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Utilities\Validators.cs", "C#", 0, 0, 66, 28, 17, 111
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\ViewModels\AccessManagementPageViewModel.cs", "C#", 0, 0, 320, 4, 48, 372
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\ViewModels\AddSnackDialogViewModel.cs", "C#", 0, 0, 170, 67, 43, 280
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\ViewModels\BackpackItemViewModel.cs", "C#", 0, 0, 8, 3, 2, 13
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\ViewModels\BackpackPageViewModel.cs", "C#", 0, 0, 610, 84, 159, 853
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\ViewModels\ChartPageViewModel.cs", "C#", 0, 0, 332, 55, 75, 462
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\ViewModels\DiabetesSettingsPageViewModel.cs", "C#", 0, 0, 242, 14, 41, 297
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\ViewModels\EditProfilePageViewModel.cs", "C#", 0, 0, 364, 43, 63, 470
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\ViewModels\HelpAlertPageViewModel.cs", "C#", 0, 0, 128, 28, 19, 175
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\ViewModels\HistoryPageViewModel.cs", "C#", 0, 0, 561, 228, 122, 911
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\ViewModels\LoginPageViewModel.cs", "C#", 0, 0, 100, 3, 19, 122
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\ViewModels\MainPageViewModel.cs", "C#", 0, 0, 734, 137, 159, 1030
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\ViewModels\OnboardingPageViewModel.cs", "C#", 0, 0, 204, 4, 34, 242
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\ViewModels\ProfilePageViewModel.cs", "C#", 0, 0, 414, 63, 68, 545
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\ViewModels\RecommendationModalViewModel.cs", "C#", 0, 0, 225, 67, 57, 349
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\ViewModels\RegisterPageViewModel.cs", "C#", 0, 0, 233, 6, 49, 288
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\ViewModels\SchedulePageViewModel.cs", "C#", 0, 0, 219, 17, 38, 274
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\ViewModels\VerifyPageViewModel.cs", "C#", 0, 0, 224, 9, 46, 279
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Views\Components\EmptyStateView.xaml", "XML", 77, 0, 0, 4, 14, 95
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Views\Components\EmptyStateView.xaml.cs", "C#", 0, 0, 231, 21, 49, 301
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Views\Components\GlucoseChartDrawable.cs", "C#", 0, 0, 169, 14, 33, 216
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Views\Components\GlucoseHeroCard.xaml", "XML", 87, 0, 0, 9, 18, 114
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Views\Components\GlucoseHeroCard.xaml.cs", "C#", 0, 0, 97, 9, 18, 124
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Views\Components\MetricCard.xaml", "XML", 66, 0, 0, 4, 11, 81
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Views\Components\MetricCard.xaml.cs", "C#", 0, 0, 103, 13, 20, 136
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Views\Components\StatusChip.xaml", "XML", 41, 0, 0, 5, 7, 53
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Views\Components\StatusChip.xaml.cs", "C#", 0, 0, 35, 4, 7, 46
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Views\Components\SyncBanner.xaml", "XML", 60, 0, 0, 26, 11, 97
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Views\Components\SyncBanner.xaml.cs", "C#", 0, 0, 185, 21, 38, 244
